Fluo-DDEP  (uM),Substrate,Product
0,0,0
1,0.000001,0.002296589
2,0.000002,0.002624673
3,0.000003,0.004593178
5,0.000005,0.005905515
7,0.000007,0.011154862
10,0.00001,0.017060377
15,0.000015,0.022637808
20,0.00002,0.019028882
40,0.00004,0.037073511
60,0.00006,0.044619447
80,0.00008,0.066273002
100,0.0001,0.082021042
120,0.00012,0.085301883
140,0.00014,0.111876701
160,0.00016,0.077755948
180,0.00018,0.084645715
