Fluo-DDEP  (uM),Substrate,Product
0,0,0
1,0.000001,0.004593178
2,0.000002,0.006889768
3,0.000003,0.010826778
5,0.000005,0.01574804
7,0.000007,0.030183743
10,0.00001,0.033792669
15,0.000015,0.055774308
20,0.00002,0.061023655
30,0.00003,0.073490853
40,0.00004,0.10629927
60,0.00006,0.122703478
80,0.00008,0.146653623
100,0.0001,0.176181198
120,0.00012,0.192585406
140,0.00014,0.20078751
160,0.00016,0.188320312
180,0.00018,0.181430544
