Fluo-DDEP  (uM),Substrate,Product
0,0,0
1,0.000001,0.004921263
2,0.000002,0.008858273
3,0.000003,0.012795283
5,0.000005,0.013123367
7,0.000007,0.028215238
10,0.00001,0.048884541
15,0.000015,0.077099779
20,0.00002,0.103018428
30,0.00003,0.134842593
40,0.00004,0.165682504
60,0.00006,0.20472452
80,0.00008,0.224737654
100,0.0001,0.259186492
120,0.00012,0.264435838
140,0.00014,0.289370235
160,0.00016,0.286745562
180,0.00018,0.266732428
