Fluo-DDEP  (uM),Substrate,Product
0,0,0
1,0.000001,0.001968505
2,0.000002,0.006233599
3,0.000003,0.004921263
5,0.000005,0.009186357
7,0.000007,0.013451451
10,0.00001,0.008530188
15,0.000015,0.014435703
20,0.00002,0.012467198
30,0.00003,0.023950144
40,0.00004,0.028871407
60,0.00006,0.029199491
80,0.00008,0.057086645
100,0.0001,0.070210012
120,0.00012,0.068241507
140,0.00014,0.07086618
160,0.00016,0.060039403
180,0.00018,0.067585338
