"BL1-A","BL1-H","BL1-W"
47134,20946,99
47257,22151,97
50522,23206,101
55332,24137,104
48539,22233,95
49718,22245,102
55536,24528,106
50982,23881,97
47659,22409,99
51101,23381,100
50603,23576,101
49733,22877,100
50414,21465,102
44109,20172,96
47784,21553,99
48451,21841,99
49213,21205,99
50019,22126,103
47919,22213,98
47960,22262,99
47365,21214,100
45891,21244,100
51090,22187,99
50824,23362,100
49111,21931,103
47887,23015,95
48124,21629,97
49609,22723,98
51048,22550,100
49437,22878,100
44601,20743,97
50580,23273,102
723573,326617,111
55909,24562,103
47108,21418,99
48093,21229,101
52099,23873,103
50937,22923,103
52850,23832,101
60386,25879,110
50485,22894,102
47617,22429,95
50245,22333,99
47680,21656,97
48468,22318,98
49405,23204,94
45620,20956,99
51263,23682,99
53965,23746,104
58137,25404,106
61689,26701,106
58081,24690,106
48934,22820,101
53027,24416,101
64795,27366,109
49590,22029,101
50587,22140,102
54507,23003,103
56063,24805,105
46045,21237,91
62258,27362,107
54000,24404,101
49623,22246,102
50049,23233,100
52133,23354,102
60131,26817,105
41200,18558,95
48971,22625,101
51824,23190,102
60053,25247,107
50836,22060,101
48628,22044,99
49364,23129,98
49556,23225,100
49382,22772,98
54155,24524,104
46948,21133,101
56870,24577,108
61788,25627,107
48650,21934,100
45615,21020,98
49889,22368,102
52295,23705,103
60275,25914,108
47918,20906,101
49255,22255,100
51319,22808,101
51653,23588,101
53483,24159,103
739455,332540,115
54065,23935,102
45570,20748,99
47036,21544,100
842745,377775,116
51180,22295,103
50215,22669,96
55860,24573,106
58323,24254,108
49091,21555,101
47635,21375,100
47305,21534,101
52665,23454,103
47219,21528,99
50091,22857,102
58419,25004,107
50582,23719,101
48932,22322,99
47285,21387,98
49221,22279,101
49237,22915,97
51933,24095,103
41704,18460,95
49417,21906,101
49858,22208,100
50362,22988,101
55399,24384,104
51392,23767,104
47431,21615,95
46600,20562,101
47006,21960,97
50255,22734,100
61763,26765,107
52389,24125,101
61095,26515,108
46682,21177,98
51892,24443,99
45278,20051,97
53224,23896,104
55969,24324,103
59905,26290,108
50151,20811,104
55842,25157,99
49732,22895,105
49504,22423,105
62414,27174,106
51557,23339,106
57059,24395,110
45033,20637,97
47566,21435,97
48302,21704,101
49104,22208,99
52027,23148,104
59865,25271,109
59750,26118,107
50762,22403,103
46329,21220,98
52024,22833,102
50741,22816,101
45246,20903,100
49297,22018,99
51158,23501,101
55626,23827,105
59162,26021,101
53728,23962,103
54501,23311,105
47487,20618,103
44757,20759,98
49885,21905,105
55554,24765,105
61685,26267,107
48207,22148,101
50443,22981,101
52379,23854,102
47828,22623,97
43499,19326,97
57074,24768,108
61553,27146,109
44861,20464,96
47111,21292,101
49766,22537,103
58886,26008,107
41057,18733,95
52142,23678,103
50803,22741,103
49829,23234,101
50684,23181,101
46100,20941,99
48644,22641,98
49042,22430,98
49679,21654,98
54606,23047,104
42602,19166,96
45450,20590,98
56065,24530,107
60708,26502,107
51337,23808,102
62319,26522,108
50114,21989,102
64929,28149,105
51236,23086,102
55298,23685,101
50893,23235,100
52572,24233,99
57943,25064,107
51236,23001,103
51039,23013,103
56163,23475,105
46816,21652,98
56960,24535,104
48392,21721,102
50668,23494,101
51038,23158,102
49860,23576,96
45527,21249,97
50792,22793,103
49006,22682,100
60039,25578,104
49214,21454,101
51616,23868,100
50423,22584,101
47279,22621,97
46131,21350,95
49981,23373,101
52403,23798,101
51650,21941,100
58296,24442,108
32647,19239,87
52435,23252,103
49088,22224,101
59488,25400,105
56924,24521,105
57718,25137,105
49705,22562,101
46161,21243,96
47351,21414,97
45227,20048,99
47527,21724,99
50677,23651,101
50852,22511,99
56626,24551,103
56093,23988,106
49687,21094,103
46586,21167,97
50749,21525,101
47874,21668,103
51438,23122,98
49485,22968,100
46211,20975,97
51424,23141,99
60348,26602,104
46410,21302,100
56404,23831,106
49023,21454,99
49365,22602,101
51590,23509,100
51731,23297,102
49931,23340,95
49848,23168,100
48432,22332,100
52876,24079,104
48176,21191,101
51221,22458,101
47254,20691,103
51026,22685,103
58202,24817,106
49474,22699,102
47955,21288,100
50316,22443,102
45954,20858,96
46896,20944,98
46306,20867,101
45741,20667,98
48767,22480,102
51912,23521,102
48717,21932,102
49065,22205,99
50300,22347,102
50730,23212,101
48294,22430,99
53689,23824,105
55916,24573,104
691959,311835,110
51501,21904,106
47884,21821,98
49462,22694,102
53051,23818,102
58659,25653,106
55626,23670,102
51780,23545,102
45795,21207,96
53972,24392,102
51859,23028,103
59197,24759,108
47357,20481,96
50178,22476,100
50590,22321,99
48918,23025,101
50878,23054,102
694357,316526,109
48010,22550,98
47500,20280,103
44836,19183,100
48103,22197,101
53201,23444,103
48975,22136,101
45032,19656,97
49850,23524,98
49916,22726,101
47378,21639,103
51808,24042,100
50454,23135,102
48941,21932,100
52331,23799,100
51452,22836,103
49600,22895,99
45522,21156,97
46702,21356,96
50998,23955,101
66633,28354,109
51191,22117,103
783005,351118,115
49566,20125,105
49876,23489,99
55773,24982,104
48919,22286,103
50887,23307,102
48732,21967,99
52172,23581,100
53316,23131,103
48314,22216,99
52481,23522,103
50328,22567,103
58358,25187,102
54609,24277,104
51666,23118,102
49783,22538,103
50335,23898,100
49326,22882,99
53102,24092,102
50716,22190,99
54220,23262,105
50061,23817,101
50983,22875,102
48747,22171,99
59427,26096,104
54065,22698,99
50913,23707,100
61576,26751,110
48833,22167,99
54050,25073,102
53026,22847,102
861272,378609,117
49537,23095,96
49113,22613,100
48846,22807,99
50292,22741,101
48504,23019,98
46594,21264,100
48332,22140,98
49283,22474,101
51918,22073,102
50545,23488,100
50697,22155,104
48204,22284,95
49209,22813,99
53355,23099,104
59337,25981,107
50672,23000,102
49713,22417,103
59601,25613,107
53446,24370,104
53915,23721,106
50217,22568,100
47444,22194,99
44863,20850,98
48079,21587,98
66724,27293,111
50006,22166,101
56912,24574,106
47289,21450,98
53726,24127,102
49774,22898,102
44941,19905,97
50948,23301,101
58134,25497,105
58177,24792,105
47637,22306,98
48621,23179,94
51626,23841,101
50856,22131,98
48634,22106,96
46521,20377,94
48362,22319,98
46592,21252,98
54844,24698,102
43938,20162,97
44655,19650,98
50663,23230,100
52709,23631,104
49335,22087,101
50861,22607,103
50920,23431,102
49996,20892,104
47780,21154,100
53316,24213,102
50873,23098,100
49894,21830,100
49837,22835,99
49819,22388,103
46372,21586,97
51413,23053,101
50214,23475,101
