"488nm525-40-A","488nm525-40-H"
1710.4,1675.5
1045.1,1187.5
2961.8,2888.1
1920.8,2078.1
2148.9,2214.5
4068.3,3643.2
7010.8,6758.4
9287.4,9977
5206.9,5130
2601.8,2384.5
1316.3,1763.2
510.1,797.3
2881.6,2941.3
922.2,1363.9
6074,5476.5
2306,2607.4
1941.6,1904.5
4499.9,4298.4
79.1,500.5
715,887.2
673.7,756.6
110125,108158
2878.9,2921.1
1692.7,1904.9
10978.3,10648.1
949.9,1265.7
6184.5,6592.6
6633.6,6759.3
613.5,813
1531.5,1921.4
1260.6,1795.1
3176.4,3350.5
1575.6,1875
5560.2,6375.6
6809.6,6496.3
589.8,793.2
1561.4,1663.1
856.3,1271
795.4,920.9
1189,1336.4
1766.4,1960.6
1342.3,1813.5
674.8,944.3
2377,2680
5248,5567.4
4691.5,4684.4
1625.7,1396.1
2629.8,2766.3
3385.8,2024.5
1146.1,1560.7
6972.4,6961.1
984.8,988.3
16829,15809.1
3377.7,3807.9
971.6,1460.9
10402.1,9635
690.6,757.6
5491.2,5029.1
1312.1,1064.6
1044.5,1530.7
733.6,1187.3
10606,10809.4
4067.9,4264.5
3209.5,2910.8
2956,2565.9
5678,5766.1
559.7,819.7
1299.4,1537.3
2460.7,2859.9
922.9,1240.9
23364.4,22428.5
782.2,1260.2
3397.2,3188.2
1806.6,2115.9
4352,4708.6
1911.8,2136.2
1932.3,2186.7
2119,2723.9
12769.5,13305.4
1685.5,2037.4
2516.6,2952.9
2670.4,3141.4
7043.8,7011.5
1899.2,1905.2
1903.7,2082.4
1001.5,1217.7
1161.2,1252.4
2724.4,3178.5
3544.5,3372
775.6,1292.1
6454.7,6178.1
6859.2,7645.7
11015.9,10706.2
622.4,799.2
1011.4,1178.1
10480.2,10393.3
3180.1,3778.7
2366.3,2259.6
667.7,964.3
2870.2,3509.8
9868.5,10144.1
3866.2,4250.6
1705.6,2057.3
1386.2,1532.4
1511.1,1840.4
4397.1,4447.4
8569.2,8067.8
841.2,553.9
6986.2,6707.9
4580.5,4260.3
3420.1,3288.5
632.8,868.3
1437.8,1852.9
3708.1,3982.7
3798.2,4034.9
3132.6,3526.4
11790.2,11740
1731.9,2000.7
984.6,1434.8
1442.4,1583.3
6092.3,6289.2
9394,9147.3
1742.1,1898
2840.4,2169
42087.4,40118.2
1005.7,1605.6
1744.1,2062.2
2959.3,3073.1
7151.4,6606.5
1342.2,1265.7
3152.2,3649.7
343,680.2
792.7,1366.3
9364.2,9332.4
2778.7,3021.1
5799.1,6018.8
3301.3,3791.1
3529.6,3351.6
2401.3,2249.2
2166.9,2040.3
1652.4,1888.4
1564,1870.7
6846.8,6965.9
7021.9,7152.2
2776.9,2641.4
960.7,1314.5
11791.2,12018.6
3072.8,2949.3
9185.7,8679.3
1066.5,1334.6
6593.5,6351.5
2477.4,2629.8
2806.2,3138.8
1723.5,2141.8
2484.2,2668.3
1228.9,1780.5
3111.9,3267
386.1,890.2
1801.8,1977.3
6359.4,6637.4
1182.5,1312.5
2002.7,2554.4
2700.9,3075.2
1512,1537.2
9109.8,9177.8
978,1188
2075.1,2348.1
4467.2,4356
246754,245283
1630.2,1619.6
2544.4,2642.2
2004.6,1685.1
9149.4,9026.1
1476.7,1433.3
1211.6,1754.5
179.8,596.9
2462.3,2371.6
48417.2,47956.3
3316.7,3269.8
7053.9,7119.1
4037.3,4077.8
2321.1,2290.6
2444.7,2795.2
1348.6,1665.8
4044.2,4026.6
1393.1,1425.3
1214.6,823.5
3388.9,3873.4
9127.2,9037.8
6513.9,5918.2
1321,2026.3
6751.6,6408.5
3765.8,3620.3
1569.8,1812
5622.6,5980.1
3554,3855.6
2294.2,2486.1
1402.3,1854.5
632.9,992.7
1121.3,1306.6
4216.2,4415.9
4185.4,4679.3
2443,2635.3
