"488nm525-40-A","488nm525-40-H"
236522,227642
297824,298093
167417,164978
60960.2,62909.2
361178,358173
59758.4,49848.2
110138,110069
396923,201520
101101,100918
103124,102840
190599,182094
89873.2,90431.1
452712,449475
275617,263991
110700,106810
149940,147413
441186,430709
97743.5,98538.6
228061,222652
187963,185279
113849,116695
109840,106369
139958,139632
219083,213931
233162,228601
134526,132076
159795,153135
115683,113475
166454,161401
116531,117831
83965.2,83118.8
156907,154072
123749,122945
135426,136806
114454,112181
105515,110146
103719,102378
128913,128050
215090,211319
96275.4,93149.6
169554,165637
140302,134057
172014,163332
122823,124862
130081,123813
176299,173391
76493.1,73827.4
236429,237246
279356,270215
89400.4,85492.7
132664,130471
298112,283901
238293,236325
303566,303651
115159,113428
141463,137431
98256.2,101433
71532.7,75234.7
703479,532711
161868,157266
221543,224317
78939.9,77752.2
76740.4,77869.7
124348,124934
204452,203250
173895,167216
144062,136019
722330,695546
75192.7,76322.2
104857,105984
371680,200815
148281,145120
162676,157830
101374,100414
280273,284528
146677,143635
168604,170124
64725.3,66223.1
118324,108470
155652,156142
237546,225781
162567,163243
62943.7,63944.9
92837.1,92085.9
89465.2,89151.9
93412.7,94613.7
116125,118188
162415,159783
139446,139393
403536,392721
503436,488534
105955,92160.1
648197,645257
263990,135824
112914,112573
141326,141612
184952,180734
139853,137127
217753,211025
211525,207877
355487,230871
198014,197195
139781,136678
170612,170002
127009,126646
90613.4,85445.6
135053,129892
155522,148077
113576,112038
83322.2,82911.6
31744,32063.5
67520.7,68693
152014,152445
112454,102924
151258,145751
158037,151823
141126,139696
118570,118447
393071,366908
83236.9,84138.2
142801,143077
179686,178561
179366,179191
240590,238773
231406,227562
260626,252554
160628,153272
251059,238031
398281,399314
123918,123542
282431,284901
239834,233419
202952,200482
279633,273184
181189,175787
80574.3,82071.6
232877,221462
198769,180876
401350,348965
142769,143707
130825,131323
314069,166057
110081,107298
145683,143292
187687,188604
112313,113665
142860,130177
160598,162127
304148,295499
103361,102733
112945,111394
52555.4,54126.6
155326,139737
99722.8,88968.3
223561,222091
123808,122084
85545.7,86857.4
195401,189084
155879,157582
94783.2,93805.3
121735,120679
166738,156650
116063,111314
145213,141915
36513.2,36481.1
180764,168574
151807,152126
182982,176417
202979,188934
168632,166474
164644,156790
158575,153234
100632,101087
72484.3,71055.5
116824,117861
95332.9,93103.3
95086,90081
352034,278763
183483,174570
207365,197743
100599,101894
247011,244324
135386,133976
179105,176932
207105,202214
103781,98092.3
132512,128015
252507,243127
126287,120099
221735,132598
190018,173968
154179,152876
139800,139181
269422,272644
170833,164364
119337,121704
184844,177268
125806,121807
61395.7,61630.9
143843,138796
323402,324644
146309,141601
217183,217053
233390,230047
122645,119520
58763.8,58895.3
156102,156261
172593,172487
90939.6,87452.5
154676,150138
87704.5,87726.4
161253,157753
140585,138944
440260,440998
186993,183270
141216,137903
78413.4,78518.4
148416,124870
154454,153943
120787,111698
129192,124896
115169,114098
232184,226545
111452,111027
169000,161960
111634,101565
155596,157525
104760,102983
